,GSM1276026,GSM1276027,GSM1276028,GSM1276029,GSM1276030,GSM1276031,GSM1276032,GSM1276033,GSM1276034,GSM1276035,GSM1276036,GSM1276037,GSM1276038,GSM1276039,GSM1276040,GSM1276041,GSM1276042,GSM1276043,GSM1276044,GSM1276045,GSM1276046,GSM1276047
CCDC88C,6.87001,6.95969,6.76533,6.80419,7.00156,6.79029,6.74407,6.5805,6.63044,6.83334,6.80369,6.84341,7.12887,7.07055,6.93043,6.92245,6.53968,6.98102,7.11805,6.80656,6.79901,6.57236
SMEK1,6.39226,6.36184,6.49094,6.58946,6.39173,6.90807,6.49279,6.76861,6.53279,6.33472,6.54918,6.71633,6.67046,6.66935,6.64195,6.69221,6.55165,6.6322,6.79078,6.81749,6.37058,6.40077
NM_001080113.2,5.79059,5.94026,5.55993,5.60212,5.75538,5.58327,5.83741,5.97949,5.60032,5.7465,5.70815,5.80351,6.05758,5.72255,5.63663,5.77501,5.70644,5.67321,5.98926,5.63416,5.4024,5.87969
CATSPERB,2.20128,2.06586,2.06864,2.01165,2.08779,2.28017,2.03787,2.10148,2.04572,2.23235,2.14889,2.22378,2.11917,2.12449,2.10614,2.89122,1.94609,2.13705,2.13977,2.23375,2.26494,2.01683
TC2N,8.19527,8.16265,8.07399,8.07691,8.19398,8.16304,8.02307,7.86541,7.79432,7.83632,8.17567,8.21609,8.19393,8.15556,8.10429,8.27714,7.70202,8.25838,8.39991,8.26462,8.19772,7.6526
FBLN5,3.90688,3.98576,3.82648,3.80741,3.84902,3.74862,3.92632,3.8439,3.88914,3.89252,3.89033,3.82712,3.69771,3.86813,3.8326,3.78653,3.93025,3.89094,3.7674,3.7564,3.90095,3.96058
TRIP11,4.90606,4.95104,5.34515,5.27831,5.20112,5.53996,5.2132,5.59935,4.99274,4.86789,5.17643,5.38986,5.35402,5.31933,5.28229,5.78434,5.09949,5.25134,5.6309,5.60069,5.153,5.0736
ATXN3,4.99364,4.88055,5.22117,5.19971,4.97991,5.44328,5.06281,5.23779,5.41986,5.26764,5.28574,5.2674,5.32743,5.37908,5.30085,5.40912,5.17402,5.3131,5.50775,5.37125,5.06755,5.13429
NDUFB1,4.59501,4.58252,4.63744,4.54192,4.50072,4.59906,4.56433,4.80032,4.77663,4.85168,4.68946,4.61008,4.41649,4.55119,4.76899,4.78193,4.71708,4.91473,4.72245,4.59979,4.52021,4.6713
LGMN,5.31629,4.93569,5.08034,5.11107,5.52422,5.28075,5.54707,4.89861,5.22936,5.39447,5.55457,5.81418,5.66821,5.44624,5.73103,5.29133,5.3801,5.45285,5.46023,5.58835,5.56366,5.31036
ITPK1,7.31225,7.5037,7.61373,7.54783,7.5405,7.80915,7.51736,8.18272,7.94133,8.09842,7.7612,7.76372,7.77898,7.84065,8.2112,7.7055,8.13401,7.73505,7.68575,7.82586,7.50015,7.82683
MOAP1,5.82375,5.71185,5.74985,5.66876,5.76352,5.69222,5.60111,5.69772,5.71873,5.65354,5.75226,5.88455,5.78496,5.86377,5.88872,5.72621,5.69632,5.87326,6.0621,5.78748,5.81043,5.83771
C14orf142,5.25153,5.03363,5.24988,5.26,4.87161,5.15171,5.3569,5.27656,5.38253,5.39597,5.20778,5.2933,5.39532,5.44497,5.50261,4.90462,5.40452,5.58412,5.74088,5.32669,5.63921,5.30695
BTBD7,5.50812,5.46252,5.54956,5.55218,5.44708,5.62735,5.42944,5.77097,5.74464,5.49158,5.54515,5.60833,5.68062,5.68816,5.54773,5.58643,5.57651,5.63473,5.60302,5.51279,5.41432,5.68014
PRIMA1,4.31959,4.27285,4.25397,4.24757,4.32992,4.14255,4.18342,4.11186,4.20462,4.32632,4.27179,4.08204,4.16283,4.14558,4.14583,3.94929,4.26929,4.13408,4.00871,4.09647,4.23071,4.08299
ASB2,4.53702,4.61857,4.48643,4.356,4.50049,4.35479,4.53018,4.39446,4.63318,4.51629,4.42649,4.49144,4.80439,4.44725,4.37382,4.26256,4.39911,4.42786,4.43787,4.43236,4.46758,4.4637
DDX24,6.96915,7.12937,7.04223,7.14585,7.14283,7.13703,6.96706,6.97524,6.96132,7.11985,7.01303,7.29975,7.49548,7.34274,7.40793,7.22974,7.06692,7.44348,7.66058,7.43138,7.26228,6.95095
IFI27L2,5.96329,6.08797,5.65192,5.92197,5.57796,5.74813,6.05705,5.97407,6.12505,6.12878,6.09379,5.9557,6.27275,6.03881,6.00755,6.18188,6.16861,6.20891,6.19826,6.09943,6.25293,6.09012
SERPINA10,2.50713,2.729,2.54844,2.58736,2.73925,2.79421,2.51037,2.58954,2.44986,2.50139,2.75776,2.53485,2.57081,2.3698,2.22085,2.51804,2.63134,2.41547,2.31276,2.40496,2.3602,2.4227
SERPINA6,3.19523,2.83662,3.22255,2.88731,3.0774,2.9044,2.6562,3.43289,2.75502,3.08945,2.83256,2.72001,2.73032,2.84749,2.88811,2.78039,2.9,2.67578,2.91953,2.92505,2.84016,2.94841
SERPINA2,3.67229,3.72068,3.67571,3.63402,3.9807,3.83511,3.78505,3.7018,3.88763,3.65407,3.46886,3.55333,3.77215,3.61428,3.61499,3.64215,3.67812,3.74023,3.56134,3.53363,3.81252,3.71283
SERPINA1,8.83457,9.03473,8.97925,9.06183,9.03096,9.49117,8.95635,9.57535,9.17631,9.37903,8.88785,9.10004,9.26297,9.13029,9.31642,9.22981,9.33332,9.06211,9.14676,8.96073,9.12313,9.28191
SERPINA11,3.83788,3.90336,3.49632,3.59279,3.52263,3.89058,3.94671,3.7319,3.64922,3.63273,3.62816,3.71795,3.57334,3.57038,3.58524,3.35285,3.69511,3.46184,3.41328,3.35919,3.47905,3.65739
SERPINA9,3.50201,3.30506,3.41091,3.38685,3.36258,3.44826,3.203,3.25139,3.3035,3.24319,3.19376,3.24234,3.17669,3.30622,3.15385,3.4724,3.25064,3.26633,3.15844,3.23614,3.1341,3.27635
