"samplename"	"Cohort"	"y"	"prob"
"X296"	"GSE251778_F"	1	8.4709179095927e-05
"X297"	"GSE251778_F"	1	0.000118391767262948
"X299"	"GSE251778_F"	1	8.59918200576548e-05
"X30"	"GSE251778_F"	0	0.00013777361069197
"X300"	"GSE251778_F"	1	0.000141660580912028
"X302"	"GSE251778_F"	1	2.5413190460965e-05
"X305"	"GSE251778_F"	1	9.22638327997109e-05
"X307"	"GSE251778_F"	1	0.000379807826442668
"X309"	"GSE251778_F"	1	7.92244707592112e-05
"X310"	"GSE251778_F"	1	0.00125609444310723
"X312"	"GSE251778_F"	1	0.000304347597717888
"X313"	"GSE251778_F"	1	0.000627727569469619
"X314"	"GSE251778_F"	1	7.53942014343138e-05
"X315"	"GSE251778_F"	1	0.000316256724167677
"X316"	"GSE251778_F"	1	0.000237177291375124
"X317"	"GSE251778_F"	1	0.000409256350180643
"X319"	"GSE251778_F"	1	5.04788690321705e-05
"X32"	"GSE251778_F"	0	0.00032609245506751
"X321"	"GSE251778_F"	1	0.000346995867585598
"X323"	"GSE251778_F"	1	0.000274728799663485
"X325"	"GSE251778_F"	1	0.000117456599113359
"X326"	"GSE251778_F"	1	0.000780750554797119
"X328"	"GSE251778_F"	1	0.000159146973549476
"X330"	"GSE251778_F"	1	0.000142899452436635
"X332"	"GSE251778_F"	1	0.0011117528836455
"X334"	"GSE251778_F"	1	0.00169635800682826
"X336"	"GSE251778_F"	1	0.00123329686600051
"X338"	"GSE251778_F"	1	7.3738192039317e-05
"X34"	"GSE251778_F"	0	0.000449031177705453
"X340"	"GSE251778_F"	1	0.000732929900201441
"X342"	"GSE251778_F"	1	0.00331942872188375
"X343"	"GSE251778_F"	1	0.000120003459010122
"X345"	"GSE251778_F"	1	0.000144027131304691
"X347"	"GSE251778_F"	1	0.000817762550950128
"X349"	"GSE251778_F"	1	0.000265410416400593
"X35"	"GSE251778_F"	0	0.000288540985742773
"X351"	"GSE251778_F"	1	3.35575481351643e-05
"X353"	"GSE251778_F"	1	8.44429586275489e-05
"X37"	"GSE251778_F"	0	0.000608584482135418
"X39"	"GSE251778_F"	0	0.000140978573789296
"X43"	"GSE251778_F"	0	6.76160577611522e-05
"X48"	"GSE251778_F"	0	0.000119641113667273
"X49"	"GSE251778_F"	0	0.00243491053044764
"X5"	"GSE251778_F"	0	6.13268851679158e-06
"X53"	"GSE251778_F"	0	0.000952666143631959
"X54"	"GSE251778_F"	0	0.00028627001674176
"X55"	"GSE251778_F"	0	0.000282476954368374
"X56"	"GSE251778_F"	0	0.000165361805991391
"X57"	"GSE251778_F"	0	0.0063786445821199
"X58"	"GSE251778_F"	0	7.85137020487975e-05
"X59"	"GSE251778_F"	0	7.86117757875569e-05
"X62"	"GSE251778_F"	0	8.82905634287287e-05
"X64"	"GSE251778_F"	0	0.000128949448701149
"X65"	"GSE251778_F"	0	9.27169330037857e-05
"X66"	"GSE251778_F"	0	0.00576558536073363
"X69"	"GSE251778_F"	0	1.90858936904065e-05
"X7"	"GSE251778_F"	0	0.000102205306208198
"X70"	"GSE251778_F"	0	0.000218781000661993
"X71"	"GSE251778_F"	0	0.000860167148608606
"X75"	"GSE251778_F"	0	0.000214328726742595
"X77"	"GSE251778_F"	0	5.94041686320415e-05
"X79"	"GSE251778_F"	0	0.000167510243008211
"X8"	"GSE251778_F"	0	0.000265442075448771
"X81"	"GSE251778_F"	0	0.000369404739575593
"X82"	"GSE251778_F"	0	7.47010251587331e-06
"X84"	"GSE251778_F"	0	3.07287742484927e-05
"X88"	"GSE251778_F"	0	0.000181521829834611
"X89"	"GSE251778_F"	0	0.000566299665815885
"X9"	"GSE251778_F"	0	1.22180181089186e-05
"X90"	"GSE251778_F"	0	0.000450428966499535
"X91"	"GSE251778_F"	0	0.000182064341115848
"X93"	"GSE251778_F"	0	0.000139454033523996
"X95"	"GSE251778_F"	0	4.20811592879911e-06
"X96"	"GSE251778_F"	0	6.13319516349069e-05
